,,,"Stunting prevalence in children aged < 5 years (%)","Stunting prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)"
"Country","Year","Data Source","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years"
"Bangladesh","1996","DHS","68.6 [66.7-70.6]","47.0 [44.5-49.4]","56.7 [54.7-58.8]","49.0 [46.5-51.6]","15.2 [13.7-16.8]","28.9 [26.8-31.1]","4.2 [3.4-5.1]","10.7 [9.3-12.3]","2.2 [1.7-2.8]","2.7 [2.0-3.5]"
"Barbados","2012","MICS","5.8 [3.4-9.6]","11.4 [6.8-18.4]","2.3 [1.1-5.1]","5.6 [2.8-11.0]","3.2 [1.5-6.6]","13.0 [8.1-20.2]","0.9 [0.2-3.8]","3.8 [1.5-9.3]","9.8 [6.7-14.0]","16.5 [10.4-25.1]"
"Belarus","2005","MICS","3.6 [2.7-4.8]","5.6 [4.1-7.7]","0.7 [0.4-1.1]","2.1 [1.1-3.8]","2.0 [1.4-2.8]","2.5 [1.4-4.6]","0.6 [0.3-1.1]","0.7 [0.2-2.1]","7.3 [6.0-8.8]","13.2 [11.3-15.3]"
"Belize","2015","MICS","16.9 [14.3-19.9]","11.8 [9.3-14.7]","4.9 [3.8-6.4]","4.0 [2.6-6.0]","1.6 [0.9-2.5]","2.1 [1.2-3.6]","0.2 [0.1-0.6]","1.0 [0.5-1.9]","7.4 [5.9-9.3]","7.2 [5.3-9.6]"
"Belize","2011","MICS","20.2 [16.9-23.9]","17.9 [14.9-21.4]","6.9 [5.5-8.5]","5.0 [3.6-7.0]","3.4 [2.5-4.8]","3.0 [1.9-4.8]","1.2 [0.6-2.4]","1.2 [0.5-2.5]","7.2 [5.5-9.3]","8.9 [6.7-11.7]"
"Belize","2006","MICS","23.5 [18.6-29.2]","19.8 [15.6-25.0]","6.5 [4.3-9.9]","2.8 [1.3-5.7]","2.2 [1.2-4.0]","1.5 [0.5-4.0]","0.9 [0.3-2.5]","0.7 [0.2-3.0]","11.6 [9.1-14.6]","16.9 [12.7-22.1]"
"Benin","2017","DHS","36.9 [35.3-38.6]","25.7 [24.4-27.1]","16.6 [15.5-17.7]","17.2 [15.9-18.5]","2.9 [2.5-3.4]","7.7 [6.9-8.6]","0.4 [0.3-0.6]","1.8 [1.5-2.2]","1.4 [1.1-1.7]","2.6 [2.2-3.1]"
"Benin","2014","MICS","39.4 [37.5-41.3]","26.4 [24.5-28.3]","18.7 [17.4-20.1]","17.1 [15.6-18.6]","2.9 [2.5-3.4]","6.7 [5.8-7.7]","0.4 [0.2-0.6]","1.6 [1.2-2.1]","1.3 [1.0-1.7]","2.4 [1.9-3.0]"
"Benin","2001","DHS","45.6 [43.0-48.3]","25.6 [23.8-27.6]","18.7 [16.8-20.8]","20.3 [18.6-22.2]","3.4 [2.7-4.3]","16.1 [14.7-17.7]","1.1 [0.8-1.6]","5.4 [4.5-6.5]","2.3 [1.7-3.0]","3.5 [2.7-4.5]"
"Bhutan","2010","MICS","37.4 [34.7-40.1]","27.4 [24.8-30.2]","14.1 [12.5-15.8]","10.5 [9.1-12.1]","3.7 [3.0-4.6]","9.2 [7.7-10.8]","0.9 [0.6-1.4]","3.8 [3.0-4.8]","6.0 [4.9-7.4]","9.9 [8.2-11.9]"
"Bolivia (Plurinational State of)","2008","DHS","31.4 [29.4-33.4]","20.9 [19.1-22.9]","3.7 [3.1-4.4]","5.6 [4.6-6.7]","0.5 [0.3-0.8]","2.7 [2.1-3.5]","0.1 [0.1-0.3]","1.0 [0.7-1.4]","8.2 [7.2-9.3]","9.3 [8.1-10.7]"
"Bolivia (Plurinational State of)","2003","DHS","36.5 [34.8-38.3]","25.6 [23.9-27.5]","4.8 [4.2-5.6]","7.5 [6.6-8.6]","1.0 [0.7-1.3]","3.0 [2.5-3.7]","0.4 [0.3-0.6]","1.1 [0.8-1.6]","8.4 [7.5-9.4]","10.6 [9.3-12.0]"
"Bolivia (Plurinational State of)","1998","DHS","37.3 [35.2-39.6]","27.4 [25.4-29.5]","5.2 [4.4-6.1]","6.9 [5.9-7.9]","0.7 [0.5-1.1]","3.0 [2.3-3.8]","0.4 [0.2-0.7]","1.3 [0.9-1.8]","9.7 [8.6-11.0]","12.0 [10.5-13.7]"
